type_id;description_category_id;путь;тип товара;статус;ошибки
971105392;80375615;Мебель / Диваны и кресла / Запчасти для кресла;Запчасти для кресла;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
95035;80375615;Мебель / Диваны и кресла / Кресло-качалка;Кресло-качалка;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
971102746;200001500;Товары для взрослых / Уход и хранение секс игрушек / Хранение секс игрушек;Хранение секс игрушек;другая ошибка;INCORRECT_DIMENSION:0
96566;200001500;Товары для взрослых / Уход и хранение секс игрушек / Средство для чистки игрушек;Средство для чистки игрушек;другая ошибка;INCORRECT_DIMENSION:0
971363842;200001462;Товары для взрослых / Кондитерские изделия 18+ / Кондитерское изделие для взрослых;Кондитерское изделие для взрослых;другая ошибка;"error_attribute_values_empty:9048;error_attribute_values_empty:10350;error_attribute_values_empty:10351;error_attribute_values_empty:22232;error_attribute_values_out_of_range:85"
970669701;200001461;Товары для взрослых / БДСМ / Расширитель уретральный;Расширитель уретральный;другая ошибка;INCORRECT_DIMENSION:0
96517;200001461;Товары для взрослых / БДСМ / Зажим, стимулятор для сосков;Зажим, стимулятор для сосков;другая ошибка;INCORRECT_DIMENSION:0
96540;200001461;Товары для взрослых / БДСМ / Растяжитель, разделитель мошонки;Растяжитель, разделитель мошонки;другая ошибка;INCORRECT_DIMENSION:0
96536;200001461;Товары для взрослых / БДСМ / Плетка;Плетка;не создано;
96529;200001461;Товары для взрослых / БДСМ / Фиксатор БДСМ;Фиксатор БДСМ;не создано;
96546;200001461;Товары для взрослых / БДСМ / Стек БДСМ;Стек БДСМ;не создано;
97194;17028960;Товары для взрослых / Интимная косметика / Крем интимный;Крем интимный;другая ошибка;"error_attribute_values_empty:8050;error_attribute_values_empty:8205;error_attribute_values_empty:9048;error_attribute_values_empty:22232;error_attribute_values_out_of_range:85"
971749423;17028960;Товары для взрослых / Интимная косметика / Массажное масло эротическое;Массажное масло эротическое;другая ошибка;INCORRECT_DIMENSION:0
96565;17028960;Товары для взрослых / Интимная косметика / Пролонгатор;Пролонгатор;другая ошибка;INCORRECT_DIMENSION:0
96562;17028960;Товары для взрослых / Интимная косметика / Возбуждающее средство;Возбуждающее средство;не создано;
96541;17028959;Товары для взрослых / Секс игрушки / Расширитель;Расширитель;другая ошибка;DESCRIPTION_DECLINE:22507
96508;17028959;Товары для взрослых / Секс игрушки / Страпон;Страпон;не создано;
96503;17028959;Товары для взрослых / Секс игрушки / Анальный стимулятор;Анальный стимулятор;не создано;
96501;17028959;Товары для взрослых / Секс игрушки / Анальный крюк;Анальный крюк;не создано;
97674;85697584;Товары для взрослых / Парфюмерия с феромонами / Парфюмерия с феромонами;Парфюмерия с феромонами;другая ошибка;INCORRECT_DIMENSION:0
971093239;200001546;Аптека / Одежда медицинская / Одежда адаптивная;Одежда адаптивная;другая ошибка;error_card_with_deleted_photos:0
970625783;200001546;Аптека / Одежда медицинская / Аппарат для надевания бахил;Аппарат для надевания бахил;фото отклонено;"DESCRIPTION_DECLINE:4194;DESCRIPTION_DECLINE:22507"
970976284;200001546;Аптека / Одежда медицинская / Респиратор медицинский;Респиратор медицинский;другая ошибка;error_card_with_deleted_photos:0
970865456;200001546;Аптека / Одежда медицинская / Набородник, защитный экран;Набородник, защитный экран;другая ошибка;error_card_with_deleted_photos:0
970857138;200001546;Аптека / Одежда медицинская / Комплект СИЗ;Комплект СИЗ;другая ошибка;error_card_with_deleted_photos:0
971033079;200001546;Аптека / Одежда медицинская / Медицинские защитные очки;Медицинские защитные очки;фото отклонено;DESCRIPTION_DECLINE:4194
970741701;200001546;Аптека / Одежда медицинская / Нарукавники гигиенические;Нарукавники гигиенические;другая ошибка;error_card_with_deleted_photos:0
98050;200001546;Аптека / Одежда медицинская / Шапочка медицинская;Шапочка медицинская;фото отклонено;DESCRIPTION_DECLINE:4194
98221;200001546;Аптека / Одежда медицинская / Одежда для медицинских процедур;Одежда для медицинских процедур;фото отклонено;DESCRIPTION_DECLINE:4194
971093241;200001546;Аптека / Одежда медицинская / Головные уборы адаптивные;Головные уборы адаптивные;фото отклонено;DESCRIPTION_DECLINE:4194
970835975;200001546;Аптека / Одежда медицинская / Аксессуар для медицинской маски;Аксессуар для медицинской маски;другая ошибка;error_card_with_deleted_photos:0
97460;200001546;Аптека / Одежда медицинская / Перчатки медицинские;Перчатки медицинские;другая ошибка;error_card_with_deleted_photos:0
971093242;200001546;Аптека / Одежда медицинская / Аксессуары адаптивные;Аксессуары адаптивные;другая ошибка;error_card_with_deleted_photos:0
970841017;200001546;Аптека / Одежда медицинская / Послеоперационное белье;Послеоперационное белье;фото отклонено;DESCRIPTION_DECLINE:4194
97464;200001546;Аптека / Одежда медицинская / Маска медицинская;Маска медицинская;другая ошибка;error_card_with_deleted_photos:0
